date,description,category,amount,type
2026-01-05,Monthly Salary,Salary,55000,income
2026-01-07,Big Bazaar Groceries,Groceries,3200,expense
2026-01-08,Uber rides,Transport,850,expense
2026-01-10,Netflix Subscription,Entertainment,499,expense
2026-01-12,Electricity Bill,Utilities,2100,expense
2026-01-15,Restaurant Dinner,Food,1800,expense
2026-01-18,Lunch with friends,Food,600,expense
2026-01-20,Freelance Project,Salary,8000,income
2026-01-22,Amazon Shopping,Shopping,4500,expense
2026-02-05,Monthly Salary,Salary,55000,income
2026-02-06,Groceries,Groceries,3400,expense
2026-02-07,Cab ride,Transport,700,expense
2026-02-09,Movie Tickets,Entertainment,600,expense
2026-02-11,Electricity Bill,Utilities,1950,expense
2026-02-13,Coffee shop,Food,450,expense
2026-02-14,Petrol,Transport,2000,expense
2026-02-18,Shopping Mall,Shopping,7200,expense
2026-02-25,Medical Checkup,Healthcare,1500,expense
2026-03-05,Monthly Salary,Salary,55000,income
2026-03-06,Groceries,Groceries,3100,expense
2026-03-07,Bus pass,Transport,600,expense
2026-03-08,Gym Membership,Healthcare,1200,expense
2026-03-10,Electricity Bill,Utilities,2200,expense
2026-03-12,Snacks,Food,350,expense
2026-03-15,Fancy Restaurant,Food,9500,expense
2026-03-20,Online Course,Education,3000,expense
2026-03-28,Uber rides,Transport,900,expense
